"year.month","year","DriversKilled","drivers","front","rear","kms","PetrolPrice","VanKilled","law"
1969,1969,107,1687,867,269,9059,0.102971811805368,12,0
1969.08333333333,1969,97,1508,825,265,7685,0.102362995884646,6,0
1969.16666666667,1969,102,1507,806,319,9963,0.102062490635914,12,0
1969.25,1969,87,1385,814,407,10955,0.100873300511862,8,0
1969.33333333333,1969,119,1632,991,454,11823,0.101019672891934,10,0
1969.41666666667,1969,106,1511,945,427,12391,0.10058119170287,13,0
1969.5,1970,110,1559,1004,522,13460,0.103773981457839,11,0
1969.58333333333,1970,106,1630,1091,536,14055,0.104076403554621,6,0
1969.66666666667,1970,107,1579,958,405,12106,0.103773981457839,10,0
1969.75,1970,134,1653,850,437,11372,0.103026401330572,16,0
1969.83333333333,1970,147,2152,1109,434,9834,0.102730112155946,13,0
1969.91666666667,1970,180,2148,1113,437,9267,0.101997191539847,14,0
1970,1970,125,1752,925,316,9130,0.101274563494893,14,0
1970.08333333333,1970,134,1765,903,311,8933,0.10070397563972,6,0
1970.16666666667,1970,110,1717,1006,351,11000,0.100139606658898,8,0
1970.25,1970,102,1558,892,362,10733,0.0986211043713023,11,0
1970.33333333333,1970,103,1575,990,486,12912,0.0983492854059603,7,0
1970.41666666667,1970,111,1520,866,429,12926,0.0980801772105387,13,0
1970.5,1971,120,1805,1095,551,13990,0.0972792082183714,13,0
1970.58333333333,1971,129,1800,1204,646,14926,0.0974106238350488,11,0
1970.66666666667,1971,122,1719,1029,456,12900,0.0974252365245483,11,0
1970.75,1971,183,2008,1147,475,12034,0.0963806330037465,14,0
1970.83333333333,1971,169,2242,1171,456,10643,0.0957389559626943,16,0
1970.91666666667,1971,190,2478,1299,468,10742,0.0951063062359475,14,0
1971,1971,134,2030,944,356,10266,0.0967359671470176,17,0
1971.08333333333,1971,108,1655,874,271,10281,0.0961092224873678,16,0
1971.16666666667,1971,104,1693,840,354,11527,0.095367254851379,15,0
1971.25,1971,117,1623,893,427,12281,0.0947095915871269,13,0
1971.33333333333,1971,157,1805,1007,465,13587,0.0941176202174608,13,0
1971.41666666667,1971,148,1746,973,440,13049,0.0935321548190638,15,0
1971.5,1972,130,1795,1097,539,16055,0.0929540494377308,12,0
1971.58333333333,1972,140,1926,1194,646,15220,0.0928397862431927,6,0
1971.66666666667,1972,136,1619,988,457,13824,0.0927247362539862,9,0
1971.75,1972,140,1992,1077,446,12729,0.0922696509793897,13,0
1971.83333333333,1972,187,2233,1045,402,11467,0.0917066851479679,14,0
1971.91666666667,1972,150,2192,1115,441,11351,0.0912620719433678,15,0
1972,1972,159,2080,1005,359,10803,0.090711603254936,14,0
1972.08333333333,1972,143,1768,857,334,10548,0.090276328119195,3,0
1972.16666666667,1972,114,1835,879,312,12368,0.0899519176272147,12,0
1972.25,1972,127,1569,887,427,13311,0.0890996386561615,13,0
1972.33333333333,1972,159,1976,1075,434,13885,0.0886791925043499,12,0
1972.41666666667,1972,156,1853,1121,486,14088,0.0881592888670634,8,0
1972.5,1973,138,1965,1190,569,16932,0.0889020568552906,8,0
1972.58333333333,1973,120,1689,1058,523,16164,0.0881813314444876,15,0
1972.66666666667,1973,117,1778,939,418,14883,0.0889402929599117,8,0
1972.75,1973,170,1976,1074,452,13532,0.0877266104275971,5,0
1972.83333333333,1973,168,2397,1089,462,12220,0.087428846437772,17,0
1972.91666666667,1973,198,2654,1208,497,12025,0.0870354301608856,14,0
1973,1973,144,2097,903,354,11692,0.0864499193294655,13,0
1973.08333333333,1973,146,1963,916,347,11081,0.0858726409121568,5,0
1973.16666666667,1973,109,1677,787,276,13745,0.0853982218357345,8,0
1973.25,1973,131,1941,1114,472,14382,0.083821981233605,5,0
